dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(47.9010, device='cuda:0', grad_fn=<AddBackward0>)",0.0887,0.0991,0.0381
cifar10,128,0,0.0001,1,"tensor(41.5596, device='cuda:0', grad_fn=<AddBackward0>)",0.15264,0.1092,0.3924
cifar10,128,0,0.0001,2,"tensor(39.7288, device='cuda:0', grad_fn=<AddBackward0>)",0.17322,0.1136,0.5119
cifar10,128,0,0.0001,3,"tensor(39.4074, device='cuda:0', grad_fn=<AddBackward0>)",0.17554,0.1146,0.5223
cifar10,128,0,0.0001,4,"tensor(39.1856, device='cuda:0', grad_fn=<AddBackward0>)",0.1748,0.1169,0.512
cifar10,128,0,0.0001,5,"tensor(38.9989, device='cuda:0', grad_fn=<AddBackward0>)",0.17528,0.1192,0.5048
cifar10,128,0,0.0001,6,"tensor(38.8255, device='cuda:0', grad_fn=<AddBackward0>)",0.17574,0.1185,0.5005
cifar10,128,0,0.0001,7,"tensor(38.6746, device='cuda:0', grad_fn=<AddBackward0>)",0.17498,0.1181,0.4925
cifar10,128,0,0.0001,8,"tensor(38.5349, device='cuda:0', grad_fn=<AddBackward0>)",0.17368,0.1187,0.4817
cifar10,128,0,0.0001,9,"tensor(38.3860, device='cuda:0', grad_fn=<AddBackward0>)",0.17358,0.1192,0.4784
cifar10,128,0,0.0001,10,"tensor(38.2213, device='cuda:0', grad_fn=<AddBackward0>)",0.17244,0.1198,0.4724
cifar10,128,0,0.0001,11,"tensor(38.0462, device='cuda:0', grad_fn=<AddBackward0>)",0.17222,0.1219,0.4661
cifar10,128,0,0.0001,12,"tensor(37.8284, device='cuda:0', grad_fn=<AddBackward0>)",0.17166,0.1228,0.4608
cifar10,128,0,0.0001,13,"tensor(37.5976, device='cuda:0', grad_fn=<AddBackward0>)",0.17232,0.1236,0.4586
cifar10,128,0,0.0001,14,"tensor(37.3789, device='cuda:0', grad_fn=<AddBackward0>)",0.17162,0.1252,0.4513
cifar10,128,0,0.0001,15,"tensor(37.2238, device='cuda:0', grad_fn=<AddBackward0>)",0.16954,0.1253,0.4325
cifar10,128,0,0.0001,16,"tensor(37.1307, device='cuda:0', grad_fn=<AddBackward0>)",0.1693,0.1262,0.424
cifar10,128,0,0.0001,17,"tensor(37.0604, device='cuda:0', grad_fn=<AddBackward0>)",0.1702,0.1275,0.4264
cifar10,128,0,0.0001,18,"tensor(37.0116, device='cuda:0', grad_fn=<AddBackward0>)",0.17008,0.1286,0.4233
