dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
mnist,128,0,0.0001,0,"tensor(54.0322, device='cuda:0', grad_fn=<AddBackward0>)",0.13706666666666667,0.0936,0.4408
mnist,128,0,0.0001,1,"tensor(53.5897, device='cuda:0', grad_fn=<AddBackward0>)",0.13983333333333334,0.0937,0.4557
mnist,128,0,0.0001,2,"tensor(53.1283, device='cuda:0', grad_fn=<AddBackward0>)",0.14383333333333334,0.0947,0.4696
mnist,128,0,0.0001,3,"tensor(52.6226, device='cuda:0', grad_fn=<AddBackward0>)",0.14856666666666668,0.0968,0.4856
mnist,128,0,0.0001,4,"tensor(52.0787, device='cuda:0', grad_fn=<AddBackward0>)",0.1545,0.0979,0.4989
mnist,128,0,0.0001,5,"tensor(51.5064, device='cuda:0', grad_fn=<AddBackward0>)",0.16046666666666667,0.1015,0.5075
mnist,128,0,0.0001,6,"tensor(50.8825, device='cuda:0', grad_fn=<AddBackward0>)",0.16583333333333333,0.1073,0.5074
mnist,128,0,0.0001,7,"tensor(50.2086, device='cuda:0', grad_fn=<AddBackward0>)",0.17093333333333333,0.1145,0.4963
mnist,128,0,0.0001,8,"tensor(49.5116, device='cuda:0', grad_fn=<AddBackward0>)",0.17685,0.1259,0.4779
mnist,128,0,0.0001,9,"tensor(48.8567, device='cuda:0', grad_fn=<AddBackward0>)",0.1825,0.1375,0.4548
mnist,128,0,0.0001,10,"tensor(48.3494, device='cuda:0', grad_fn=<AddBackward0>)",0.18783333333333332,0.1478,0.4347
mnist,128,0,0.0001,11,"tensor(47.9589, device='cuda:0', grad_fn=<AddBackward0>)",0.1946,0.1574,0.4225
mnist,128,0,0.0001,12,"tensor(47.6274, device='cuda:0', grad_fn=<AddBackward0>)",0.20048333333333335,0.1665,0.4168
mnist,128,0,0.0001,13,"tensor(47.3232, device='cuda:0', grad_fn=<AddBackward0>)",0.20661666666666667,0.1739,0.4143
mnist,128,0,0.0001,14,"tensor(47.0362, device='cuda:0', grad_fn=<AddBackward0>)",0.21276666666666666,0.1811,0.4138
mnist,128,0,0.0001,15,"tensor(46.7270, device='cuda:0', grad_fn=<AddBackward0>)",0.21895,0.1894,0.4112
mnist,128,0,0.0001,16,"tensor(46.4255, device='cuda:0', grad_fn=<AddBackward0>)",0.22508333333333333,0.1969,0.4112
mnist,128,0,0.0001,17,"tensor(46.1156, device='cuda:0', grad_fn=<AddBackward0>)",0.23113333333333333,0.2051,0.4091
mnist,128,0,0.0001,18,"tensor(45.8031, device='cuda:0', grad_fn=<AddBackward0>)",0.2375,0.2134,0.4052
mnist,128,0,0.0001,19,"tensor(45.4907, device='cuda:0', grad_fn=<AddBackward0>)",0.24356666666666665,0.2196,0.3999
mnist,128,0,0.0001,20,"tensor(45.1909, device='cuda:0', grad_fn=<AddBackward0>)",0.24843333333333334,0.2259,0.3937
mnist,128,0,0.0001,21,"tensor(44.9095, device='cuda:0', grad_fn=<AddBackward0>)",0.25403333333333333,0.2314,0.3906
mnist,128,0,0.0001,22,"tensor(44.5880, device='cuda:0', grad_fn=<AddBackward0>)",0.25876666666666664,0.238,0.387
mnist,128,0,0.0001,23,"tensor(44.2931, device='cuda:0', grad_fn=<AddBackward0>)",0.2627333333333333,0.2434,0.3795
mnist,128,0,0.0001,24,"tensor(44.0088, device='cuda:0', grad_fn=<AddBackward0>)",0.26686666666666664,0.2485,0.3796
mnist,128,0,0.0001,25,"tensor(43.6870, device='cuda:0', grad_fn=<AddBackward0>)",0.27008333333333334,0.2545,0.372
mnist,128,0,0.0001,26,"tensor(43.4118, device='cuda:0', grad_fn=<AddBackward0>)",0.2735666666666667,0.2595,0.3667
mnist,128,0,0.0001,27,"tensor(43.1082, device='cuda:0', grad_fn=<AddBackward0>)",0.27718333333333334,0.2646,0.3645
mnist,128,0,0.0001,28,"tensor(42.8250, device='cuda:0', grad_fn=<AddBackward0>)",0.28105,0.2698,0.3581
mnist,128,0,0.0001,29,"tensor(42.5426, device='cuda:0', grad_fn=<AddBackward0>)",0.2843833333333333,0.2738,0.3515
mnist,128,0,0.0001,30,"tensor(42.2616, device='cuda:0', grad_fn=<AddBackward0>)",0.28818333333333335,0.2787,0.3461
mnist,128,0,0.0001,31,"tensor(41.9703, device='cuda:0', grad_fn=<AddBackward0>)",0.29133333333333333,0.2832,0.339
mnist,128,0,0.0001,32,"tensor(41.6751, device='cuda:0', grad_fn=<AddBackward0>)",0.29501666666666665,0.288,0.339
mnist,128,0,0.0001,33,"tensor(41.3920, device='cuda:0', grad_fn=<AddBackward0>)",0.2986333333333333,0.2933,0.3365
mnist,128,0,0.0001,34,"tensor(41.0888, device='cuda:0', grad_fn=<AddBackward0>)",0.3015,0.2984,0.3318
mnist,128,0,0.0001,35,"tensor(40.8054, device='cuda:0', grad_fn=<AddBackward0>)",0.30485,0.3045,0.324
mnist,128,0,0.0001,36,"tensor(40.5260, device='cuda:0', grad_fn=<AddBackward0>)",0.3092,0.3092,0.3222
mnist,128,0,0.0001,37,"tensor(40.2225, device='cuda:0', grad_fn=<AddBackward0>)",0.31321666666666664,0.314,0.319
