dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
mnist,64,0,0.001,0,79.05533599853516,0.53145,0.5814,0.193
mnist,64,0,0.001,1,58.89651870727539,0.5789666666666666,0.6314,0.1789
mnist,64,0,0.001,2,51.145267486572266,0.6606166666666666,0.7287,0.1557
mnist,64,0,0.001,3,41.439300537109375,0.8115166666666667,0.8976,0.1084
mnist,64,0,0.001,4,29.208560943603516,0.83275,0.9204,0.1046
mnist,64,0,0.001,5,27.2148494720459,0.8405833333333333,0.9246,0.1067
mnist,64,0,0.001,6,26.19367027282715,0.8474166666666667,0.9349,0.1052
mnist,64,0,0.001,7,25.38926887512207,0.85605,0.9443,0.1026
mnist,64,0,0.001,8,24.889301300048828,0.85745,0.943,0.1104
mnist,64,0,0.001,9,24.261249542236328,0.8611666666666666,0.9484,0.105
mnist,64,0,0.001,10,23.993471145629883,0.8638,0.951,0.106
mnist,64,0,0.001,11,23.645593643188477,0.8668666666666667,0.955,0.1031
mnist,64,0,0.001,12,23.376928329467773,0.8686833333333334,0.9561,0.1016
mnist,64,0,0.001,13,23.051156997680664,0.869,0.9574,0.1049
mnist,64,0,0.001,14,22.856168746948242,0.86945,0.9554,0.1105
mnist,64,0,0.001,15,22.692296981811523,0.8734,0.9614,0.101
mnist,64,0,0.001,16,22.456357955932617,0.8721166666666667,0.9603,0.1028
mnist,64,0,0.001,17,22.293380737304688,0.8755833333333334,0.9644,0.1024
mnist,64,0,0.001,18,22.09284782409668,0.8745833333333334,0.9625,0.103
mnist,64,0,0.001,19,22.01255226135254,0.8762333333333333,0.9651,0.1022
mnist,64,0,0.001,20,21.822309494018555,0.8771833333333333,0.9651,0.1038
mnist,64,0,0.001,21,21.7523250579834,0.8792666666666666,0.9682,0.1019
mnist,64,0,0.001,22,21.573354721069336,0.8778666666666667,0.9658,0.1056
mnist,64,0,0.001,23,21.4471435546875,0.8813333333333333,0.9695,0.1006
mnist,64,0,0.001,24,21.37061882019043,0.8814,0.9682,0.1002
mnist,64,0,0.001,25,21.263046264648438,0.8812333333333333,0.9697,0.1026
mnist,64,0,0.001,26,21.158113479614258,0.8813166666666666,0.9699,0.1026
mnist,64,0,0.001,27,21.080219268798828,0.8818333333333334,0.9693,0.1057
mnist,64,0,0.001,28,21.078275680541992,0.8841666666666667,0.9717,0.1032
mnist,64,0,0.001,29,20.953506469726562,0.88355,0.972,0.1004
mnist,64,0,0.001,30,20.851970672607422,0.88355,0.9704,0.1043
mnist,64,0,0.001,31,20.789352416992188,0.88495,0.9721,0.1009
mnist,64,0,0.001,32,20.713829040527344,0.8860666666666667,0.973,0.1027
mnist,64,0,0.001,33,20.675830841064453,0.8860333333333333,0.9726,0.1046
mnist,64,0,0.001,34,20.568893432617188,0.8851833333333333,0.9719,0.104
mnist,64,0,0.001,35,20.52681541442871,0.8864666666666666,0.9734,0.105
mnist,64,0,0.001,36,20.477779388427734,0.8868166666666667,0.9758,0.1009
mnist,64,0,0.001,37,20.34174156188965,0.8876333333333334,0.9749,0.1033
mnist,64,0,0.001,38,20.337909698486328,0.88775,0.9751,0.1029
mnist,64,0,0.001,39,20.233539581298828,0.8884,0.9747,0.1027
mnist,64,0,0.001,40,20.256507873535156,0.8878666666666667,0.9753,0.1021
mnist,64,0,0.001,41,20.17687225341797,0.8882,0.9754,0.1055
mnist,64,0,0.001,42,20.151769638061523,0.8881833333333333,0.9751,0.1026
mnist,64,0,0.001,43,20.094356536865234,0.8881833333333333,0.9747,0.1076
mnist,64,0,0.001,44,20.039026260375977,0.889,0.976,0.1051
mnist,64,0,0.001,45,19.967716217041016,0.8888,0.9747,0.1091
mnist,64,0,0.001,46,19.921703338623047,0.8896666666666667,0.977,0.1036
