dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(50.7482, device='cuda:0', grad_fn=<AddBackward0>)",0.08286,0.0999,0.0008
cifar10,128,0,0.0001,1,"tensor(50.6686, device='cuda:0', grad_fn=<AddBackward0>)",0.08284,0.0996,0.0009
cifar10,128,0,0.0001,2,"tensor(50.5912, device='cuda:0', grad_fn=<AddBackward0>)",0.08278,0.0996,0.0009
cifar10,128,0,0.0001,3,"tensor(50.5050, device='cuda:0', grad_fn=<AddBackward0>)",0.0829,0.0994,0.0011
cifar10,128,0,0.0001,4,"tensor(50.4159, device='cuda:0', grad_fn=<AddBackward0>)",0.08298,0.0995,0.0011
cifar10,128,0,0.0001,5,"tensor(50.3193, device='cuda:0', grad_fn=<AddBackward0>)",0.08294,0.0993,0.0011
cifar10,128,0,0.0001,6,"tensor(50.2175, device='cuda:0', grad_fn=<AddBackward0>)",0.08296,0.0991,0.0012
cifar10,128,0,0.0001,7,"tensor(50.1043, device='cuda:0', grad_fn=<AddBackward0>)",0.08292,0.0989,0.0012
cifar10,128,0,0.0001,8,"tensor(49.9775, device='cuda:0', grad_fn=<AddBackward0>)",0.08296,0.099,0.0012
cifar10,128,0,0.0001,9,"tensor(49.8328, device='cuda:0', grad_fn=<AddBackward0>)",0.08318,0.099,0.0012
cifar10,128,0,0.0001,10,"tensor(49.6700, device='cuda:0', grad_fn=<AddBackward0>)",0.08322,0.0991,0.0013
cifar10,128,0,0.0001,11,"tensor(49.4860, device='cuda:0', grad_fn=<AddBackward0>)",0.08342,0.0991,0.0015
cifar10,128,0,0.0001,12,"tensor(49.2749, device='cuda:0', grad_fn=<AddBackward0>)",0.08364,0.099,0.0018
cifar10,128,0,0.0001,13,"tensor(49.0293, device='cuda:0', grad_fn=<AddBackward0>)",0.08382,0.0994,0.0024
cifar10,128,0,0.0001,14,"tensor(48.7455, device='cuda:0', grad_fn=<AddBackward0>)",0.08414,0.0996,0.0032
cifar10,128,0,0.0001,15,"tensor(48.4125, device='cuda:0', grad_fn=<AddBackward0>)",0.08426,0.0993,0.0038
cifar10,128,0,0.0001,16,"tensor(48.0364, device='cuda:0', grad_fn=<AddBackward0>)",0.08408,0.0992,0.0045
cifar10,128,0,0.0001,17,"tensor(47.5996, device='cuda:0', grad_fn=<AddBackward0>)",0.08418,0.1002,0.0056
cifar10,128,0,0.0001,18,"tensor(47.0884, device='cuda:0', grad_fn=<AddBackward0>)",0.08458,0.1003,0.0083
cifar10,128,0,0.0001,19,"tensor(46.5032, device='cuda:0', grad_fn=<AddBackward0>)",0.08498,0.0992,0.0123
cifar10,128,0,0.0001,20,"tensor(45.8458, device='cuda:0', grad_fn=<AddBackward0>)",0.08572,0.0988,0.0186
cifar10,128,0,0.0001,21,"tensor(45.1255, device='cuda:0', grad_fn=<AddBackward0>)",0.08696,0.098,0.0284
cifar10,128,0,0.0001,22,"tensor(44.3652, device='cuda:0', grad_fn=<AddBackward0>)",0.08918,0.0983,0.0418
cifar10,128,0,0.0001,23,"tensor(43.5835, device='cuda:0', grad_fn=<AddBackward0>)",0.09284,0.0989,0.0623
cifar10,128,0,0.0001,24,"tensor(42.8407, device='cuda:0', grad_fn=<AddBackward0>)",0.09684,0.0986,0.0889
cifar10,128,0,0.0001,25,"tensor(42.1581, device='cuda:0', grad_fn=<AddBackward0>)",0.10308,0.0998,0.1236
cifar10,128,0,0.0001,26,"tensor(41.5938, device='cuda:0', grad_fn=<AddBackward0>)",0.11042,0.0999,0.163
cifar10,128,0,0.0001,27,"tensor(41.0903, device='cuda:0', grad_fn=<AddBackward0>)",0.11938,0.1028,0.2084
cifar10,128,0,0.0001,28,"tensor(40.7157, device='cuda:0', grad_fn=<AddBackward0>)",0.12862,0.1041,0.2652
cifar10,128,0,0.0001,29,"tensor(40.4414, device='cuda:0', grad_fn=<AddBackward0>)",0.1374,0.106,0.3146
cifar10,128,0,0.0001,30,"tensor(40.2052, device='cuda:0', grad_fn=<AddBackward0>)",0.14516,0.1068,0.3597
cifar10,128,0,0.0001,31,"tensor(40.0658, device='cuda:0', grad_fn=<AddBackward0>)",0.15074,0.1067,0.3954
cifar10,128,0,0.0001,32,"tensor(39.9508, device='cuda:0', grad_fn=<AddBackward0>)",0.15534,0.107,0.4246
cifar10,128,0,0.0001,33,"tensor(39.8814, device='cuda:0', grad_fn=<AddBackward0>)",0.15956,0.1096,0.4489
cifar10,128,0,0.0001,34,"tensor(39.8099, device='cuda:0', grad_fn=<AddBackward0>)",0.16292,0.1098,0.4694
cifar10,128,0,0.0001,35,"tensor(39.7485, device='cuda:0', grad_fn=<AddBackward0>)",0.16542,0.1114,0.484
cifar10,128,0,0.0001,36,"tensor(39.7356, device='cuda:0', grad_fn=<AddBackward0>)",0.16702,0.1112,0.4941
cifar10,128,0,0.0001,37,"tensor(39.6898, device='cuda:0', grad_fn=<AddBackward0>)",0.16904,0.1116,0.5035
cifar10,128,0,0.0001,38,"tensor(39.6435, device='cuda:0', grad_fn=<AddBackward0>)",0.17048,0.1113,0.5094
cifar10,128,0,0.0001,39,"tensor(39.6218, device='cuda:0', grad_fn=<AddBackward0>)",0.17162,0.111,0.513
cifar10,128,0,0.0001,40,"tensor(39.6043, device='cuda:0', grad_fn=<AddBackward0>)",0.17226,0.111,0.5165
cifar10,128,0,0.0001,41,"tensor(39.5785, device='cuda:0', grad_fn=<AddBackward0>)",0.1729,0.1111,0.5186
cifar10,128,0,0.0001,42,"tensor(39.5460, device='cuda:0', grad_fn=<AddBackward0>)",0.1733,0.111,0.521
cifar10,128,0,0.0001,43,"tensor(39.5312, device='cuda:0', grad_fn=<AddBackward0>)",0.17368,0.1112,0.5225
cifar10,128,0,0.0001,44,"tensor(39.5173, device='cuda:0', grad_fn=<AddBackward0>)",0.17432,0.1109,0.5236
cifar10,128,0,0.0001,45,"tensor(39.4782, device='cuda:0', grad_fn=<AddBackward0>)",0.17448,0.1111,0.5235
cifar10,128,0,0.0001,46,"tensor(39.4670, device='cuda:0', grad_fn=<AddBackward0>)",0.17476,0.1112,0.5237
